category,code_system,code,display_name,what_it_is,when_youd_need_it
surgical,CPT,27447,Total knee replacement,Surgery to replace the knee joint with an implant.,Severe knee arthritis or joint failure when other treatments failed.
surgical,CPT,27130,Total hip replacement,Surgery to replace the hip joint with an implant.,Advanced hip arthritis or fracture when surgery is the best option.
surgical,CPT,59510,Cesarean delivery,Surgical delivery of a baby through the abdomen.,When vaginal birth is unsafe or not progressing.
surgical,CPT,59400,Routine obstetric care vaginal delivery,Prenatal care plus vaginal delivery bundle coding.,Uncomplicated pregnancy ending in vaginal birth.
surgical,CPT,44970,Laparoscopic appendectomy,Removal of the appendix through small incisions.,Suspected or confirmed appendicitis.
surgical,CPT,66984,Cataract removal with lens,Removal of clouded lens and replacement with artificial lens.,Vision problems from cataract.
surgical,CPT,45380,Colonoscopy with biopsy,Colonoscopy with removal of tissue sample.,Abnormal findings or cancer screening when polyp removal needed.
surgical,CPT,42820,Tonsillectomy,Removal of tonsils.,Recurrent infections or sleep apnea related to tonsils.
surgical,CPT,47562,Laparoscopic gallbladder removal,Removal of gallbladder through laparoscope.,Gallstones causing pain or complications.
surgical,CPT,33533,Coronary artery bypass graft,Bypass surgery for blocked heart arteries.,Severe coronary disease not fixable with stents.
surgical,CPT,64721,Carpal tunnel release,Release of compressed nerve at the wrist.,Numbness and weakness from carpal tunnel.
surgical,CPT,49505,Inguinal hernia repair,Repair of groin hernia.,Painful or enlarged groin hernia.
surgical,CPT,29827,Arthroscopic rotator cuff repair,Shoulder repair through small incisions.,Torn rotator cuff causing dysfunction.
surgical,CPT,22612,Spinal fusion lumbar,Fusion of vertebrae in the low back.,Instability or deformity needing fusion.
surgical,CPT,58150,Total hysterectomy,Removal of uterus.,"Fibroids, cancer, or other uterine conditions."
surgical,CPT,29826,Shoulder arthroscopy decompression,Arthroscopic shoulder surgery for impingement.,Shoulder pain from impingement syndrome.
surgical,CPT,29888,ACL reconstruction,Rebuild of torn knee ligament.,ACL tear in active patients.
surgical,CPT,29881,Knee arthroscopy meniscectomy,Trim torn meniscus via scope.,Torn meniscus with mechanical symptoms.
surgical,CPT,43775,Lap sleeve gastrectomy,Weight loss surgery reducing stomach size.,Obesity when surgery is indicated.
surgical,CPT,43644,Gastric bypass Roux-en-Y,Weight loss surgery rerouting intestines.,Obesity with comorbid conditions.
surgical,CPT,55250,Vasectomy,Sterilization procedure for male patients.,Permanent contraception choice.
surgical,CPT,58670,Tubal ligation,Sterilization by closing fallopian tubes.,Permanent contraception choice.
surgical,CPT,37722,Varicose vein ablation,Closure of diseased leg veins.,Symptomatic varicose veins.
surgical,CPT,19318,Breast reduction,Surgical reduction of breast tissue.,Symptomatic macromastia.
surgical,CPT,30520,Septoplasty,Straighten nasal septum.,Blocked airway from deviated septum.
surgical,CPT,41899,Dental extraction surgical,Surgical tooth removal.,Impacted or damaged teeth.
surgical,CPT,17311,Mohs surgery stage,Skin cancer layered removal.,Certain skin cancers on visible areas.
surgical,CPT,27509,Open fracture care,Surgical repair of broken bone with exposure.,Open fractures needing OR fixation.
surgical,CPT,28285,Hammer toe correction,Toe deformity repair.,Painful fixed hammer toe.
surgical,CPT,28665,Ankle ligament repair,Repair torn ankle ligaments.,Persistent ankle instability.
surgical,CPT,23430,Shoulder biceps tenodesis,Reattach biceps tendon.,Biceps tendon pathology.
surgical,CPT,28292,Bunion correction,Correction of big toe deformity.,Painful bunion.
surgical,CPT,25515,Forearm fracture ORIF,Open repair of forearm fracture.,Unstable forearm fractures.
surgical,CPT,27758,Ankle fracture ORIF,Open repair ankle fracture.,Unstable ankle fracture.
surgical,CPT,21315,Closed nasal bone fracture treatment,Straightening nasal fracture without open approach.,Recent nasal fracture.
surgical,CPT,30115,Nasal/sinus polypectomy,Removal of nasal polyps.,Chronic polyps blocking airway.
surgical,CPT,31575,Laryngoscopy diagnostic,Scope of voice box for diagnosis.,Hoarseness or airway concern.
surgical,CPT,31622,Bronchoscopy diagnostic,Scope of airways.,Lung mass or bleeding evaluation.
surgical,CPT,32550,Chest tube insertion,Drainage tube for lung space.,Pneumothorax or pleural effusion.
surgical,CPT,36561,PICC line insertion,Long IV line to large vein.,Long term IV therapy needs.
imaging,CPT,70551,MRI brain without contrast,Magnetic scan of the brain without dye.,"Headache, neurologic symptoms, or mass workup."
imaging,CPT,70552,MRI brain with contrast,MRI brain with gadolinium dye.,"Tumor, infection, or MS evaluation."
imaging,CPT,72148,MRI lumbar spine without contrast,MRI of low back.,"Sciatica, stenosis, or disc evaluation."
imaging,CPT,73721,MRI knee without contrast,MRI of knee structures.,Internal knee injury suspicion.
imaging,CPT,71250,CT chest without contrast,CT scan of chest without dye.,"Lung nodule, infection, or trauma."
imaging,CPT,71260,CT chest with contrast,Chest CT with IV dye.,"Mass, PE, or vascular evaluation."
imaging,CPT,74177,CT abdomen pelvis with contrast,CT of belly and pelvis with dye.,"Abdominal pain, cancer staging."
imaging,CPT,77067,Screening mammography bilateral,Routine breast cancer screening.,Age-based breast screening.
imaging,CPT,77065,Diagnostic mammography,Detailed mammogram for symptom or finding.,Breast lump or abnormal screening.
imaging,CPT,71046,Chest X-ray 2 views,Two-view chest radiograph.,"Cough, pneumonia suspicion, pre-op."
imaging,CPT,93306,Echocardiography complete,Ultrasound of heart structure and function.,"Heart murmur, heart failure, valve disease."
imaging,CPT,77080,DEXA bone density,Low-dose X-ray for bone strength.,Osteoporosis screening or monitoring.
imaging,CPT,76700,Ultrasound abdomen complete,Ultrasound survey of abdominal organs.,"Liver, gallbladder, kidney symptoms."
imaging,CPT,76856,Ultrasound pelvis non-OB,Pelvic ultrasound not for pregnancy.,"Pelvic pain, fibroid workup."
imaging,CPT,76830,Transvaginal ultrasound,Internal pelvic ultrasound.,Early pregnancy or gynecologic detail.
imaging,CPT,76801,Obstetric ultrasound first trimester,Early pregnancy ultrasound.,Dating or viability screening.
imaging,CPT,76536,Ultrasound thyroid,Neck ultrasound of thyroid.,Nodule or thyroid disorder.
imaging,CPT,93880,Carotid duplex ultrasound,Ultrasound of neck arteries.,"Stroke risk, bruit."
imaging,CPT,78306,Bone scan whole body,Nuclear medicine bone imaging.,"Cancer staging, stress injury."
imaging,CPT,78452,Nuclear stress test,Heart perfusion imaging with exercise or med stress.,"Chest pain, known CAD."
